old_url,old_title,old_type,old_language,old_inlinks,new_url_candidate,match_confidence,priority_reason,manual_review_required
https://www.blancareal.com/es/el-precio-de-la-eficiencia-energetica-una-comparativa-desde-ahorro-en-luz-hasta-sostenibilidad/,El precio de la eficiencia energética. Una comparativa desde ahorro en luz hasta sostenibilidad. | BlancaReal,other,es,0,,,Relevant multilingual informational or commercial page.,yes
https://www.blancareal.com/sustainable-fuengirola/,Sustainable Fuengirola | BlancaReal,other,en,2,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/es/certificados-de-eficiencia-energetica-de-clase-a/,Certificados de eficiencia energética de clase A | BlancaReal,other,es,0,,,Relevant multilingual informational or commercial page.,yes
https://www.blancareal.com/es/consejos-para-nueva-inversion-dar-de-alta-la-luz/,"Consejos para su nueva inversión, gestiones y cómo dar de alta la luz",other,es,0,,,Relevant multilingual informational or commercial page.,yes
https://www.blancareal.com/real-estate-boom/,Real Estate BOOM in Costa del Sol | BlancaReal,other,en,1,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/es/comercializacion-inmobiliaria-costa-del-sol/,Comercialización Inmobiliaria en la Costa del Sol | BlancaReal,service_page,es,0,https://blancareal.com/es/commercialization/,high,Core service or transactional page.,no
https://www.blancareal.com/income-tax-return-2021-who-how-and-when-to-submit-it/,"Income Tax Return 2020: who, how and when. | BlancaReal",other,en,2,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/nl/onze-promoties/,Onze promoties | BlancaReal,service_page,nl,0,https://blancareal.com/nl/projects/,high,Core service or transactional page.,no
https://www.blancareal.com/why-invest-in-andalusia/,Business incentives and other reasons to invest in Andalusia | BlancaReal,other,en,1,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/advantages-sustainable-house/,6 advantages of a sustainable house | BlancaReal,other,en,2,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/blancareal-new-sales-office-at-puerto-de-la-torre-costa-del-sol/,"BLANCAREAL NEW SALES OFFICE AT PUERTO DE LA TORRE, COSTA DEL SOL | BlancaReal",other,en,2,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/es/sell-your-property/,Sell Your Property | BlancaReal,service_page,es,0,https://blancareal.com/es/sell-with-us/,high,Core service or transactional page.,no
