old_url,old_title,old_type,old_language,old_status,keep_candidate,suggested_action,notes
https://www.blancareal.com/property/piso-3-habitaciones-marbella-este/,PISO 3 HABITACIONES MARBELLA ESTE | BlancaReal,property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
http://www.blancareal.com/,,home,en,301,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master even though it is not a live content page.
https://www.blancareal.com/property/location-appartment-mijas/,Appartement de 2 chambres avec vue sur la mer à Mijas | BlancaReal,property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/property/appartamento-vacanze-mijas/,,property,en,404,no,ignore_legacy_404,Included in the starter master because migration QA still needs visibility on legacy errors.
https://www.blancareal.com/?post_type=property&p=313546,,property,en,404,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master because migration QA still needs visibility on legacy errors.
https://www.blancareal.com/?post_type=property&p=311152,,property,en,404,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master because migration QA still needs visibility on legacy errors.
https://www.blancareal.com/property/apartment-in-mijas-to-rent/,,property,en,404,no,ignore_legacy_404,Included in the starter master because migration QA still needs visibility on legacy errors.
https://www.blancareal.com/?post_type=property&p=313929,,property,en,404,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master because migration QA still needs visibility on legacy errors.
https://www.blancareal.com/?post_type=property&p=310452,,property,en,404,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master because migration QA still needs visibility on legacy errors.
http://blancareal.com/,,home,en,301,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master even though it is not a live content page.
https://www.blancareal.com/?page_id=311877,,other,en,404,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master because migration QA still needs visibility on legacy errors.
https://www.blancareal.com/property/flats-in-benahavis-marbella/,"APARTMENTES IN BENAHAVIS, COSTA DEL SOL | BlancaReal",property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/?post_type=property&p=310952,,property,en,404,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master because migration QA still needs visibility on legacy errors.
https://www.blancareal.com/?post_type=property&p=310834,,property,en,404,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master because migration QA still needs visibility on legacy errors.
